model,threshold,attribute,comparison,privileged_or_reference_group,statistical_parity_difference,disparate_impact_ratio,equal_opportunity_difference,average_odds_difference
XGBoost,0.25,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.42207015494172306,3.1572474585910286,0.1802855529563604,0.2815240137683098
XGBoost,0.25,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,-0.0032244881198437714,0.9938957803517423,0.00575437058146544,-0.008781397291002718
XGBoost,0.25,ICUType,Other vs Medical ICU,Medical ICU,-0.2757551049347703,0.6096306333433704,-0.019987376393856504,-0.14608672433149836
XGBoost,0.25,ICUType,Other vs Surgical ICU,Surgical ICU,-0.04609027957640832,0.9174545382937336,-0.04112662013958124,-0.040807300691435344
XGBoost,0.3,Age,>65 vs <=65,<=65,0.21441830100753018,1.6106891159522738,0.08235564757303893,0.1381652370667232
XGBoost,0.3,Gender,Female vs Male,Male,0.07376195195658708,1.1710110603114214,0.023157894736842155,0.044629348456268675
XGBoost,0.3,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.374120647525515,3.1798763062486675,0.17048479470839717,0.24849992430519288
XGBoost,0.3,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,-0.01500198475163228,0.9685324222282835,0.018825012330794033,-0.010554791817369125
XGBoost,0.3,ICUType,Other vs Medical ICU,Medical ICU,-0.2531817214974475,0.5981798745323094,-0.06069850620660633,-0.14647630755238447
XGBoost,0.3,ICUType,Other vs Surgical ICU,Surgical ICU,-0.02361323553127337,0.9508913145110474,0.0038634097706878867,-0.008834904866190318
XGBoost,0.35,Age,>65 vs <=65,<=65,0.2053252586515522,1.6739792718995492,0.06728778467908902,0.1254349785873216
XGBoost,0.35,Gender,Female vs Male,Male,0.06692283321283216,1.1745949325505738,0.031929824561403586,0.04382701752324311
XGBoost,0.35,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.3436791302298139,3.3839330144512485,0.16253932403000726,0.2265258575224554
XGBoost,0.35,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.002885222693043976,1.0070320002478237,0.049871211706033924,0.01251432446678577
XGBoost,0.35,ICUType,Other vs Medical ICU,Medical ICU,-0.2393558564946115,0.5799060477849676,-0.07749491549197007,-0.14321038371659478
XGBoost,0.35,ICUType,Other vs Surgical ICU,Surgical ICU,-0.02463336444624714,0.9427548534730937,0.010800930541708276,-0.006412866017354996
XGBoost,0.4,Age,>65 vs <=65,<=65,0.1870474161920836,1.7071213697960206,0.06360708534621573,0.11278810051191883
XGBoost,0.4,Gender,Female vs Male,Male,0.06392621266155962,1.1909217182439074,0.022982456140350882,0.03821089046808482
XGBoost,0.4,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.30930074916072625,3.550272214778064,0.16520125836896027,0.2083823620778582
XGBoost,0.4,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.01276107305645885,1.0362366319810765,0.09935879870663678,0.039253019377818776
XGBoost,0.4,ICUType,Other vs Medical ICU,Medical ICU,-0.23653750709018717,0.5435124687852769,-0.07707412862052032,-0.14070375405136498
XGBoost,0.4,ICUType,Other vs Surgical ICU,Surgical ICU,-0.0052240374136861,0.9857548813517538,-0.015619807244931838,-0.005778614907674784
XGBoost,0.45,Age,>65 vs <=65,<=65,0.17139895967773475,1.7262407821691939,0.09029215550954683,0.11485894878377514
XGBoost,0.45,Gender,Female vs Male,Male,0.047734713274897034,1.156401384083045,0.010877192982456152,0.0236767618116087
XGBoost,0.45,ICUType,Other vs Cardiac Surgery Recovery Unit,Cardiac Surgery Recovery Unit,0.27838048346268324,3.5611004478566857,0.1262402194079213,0.17331783747324184
XGBoost,0.45,ICUType,Other vs Coronary Care Unit,Coronary Care Unit,0.04380630388405138,1.1515597410241318,0.1386529292486437,0.07385009130937688
XGBoost,0.45,ICUType,Other vs Medical ICU,Medical ICU,-0.2294118689733409,0.5187946162998216,-0.09380040676064239,-0.14300985311035028
XGBoost,0.45,ICUType,Other vs Surgical ICU,Surgical ICU,-0.006676652120157722,0.9798294825422603,-0.002284812229976785,-0.001144513042397155
