model,fpr,tpr,threshold
mlp,0.08667642752562225,0.5384615384615384,0.362416
mlp,0.08667642752562225,0.5401709401709401,0.36176667
mlp,0.08755490483162519,0.5401709401709401,0.3612996
mlp,0.08755490483162519,0.5418803418803418,0.3611896
mlp,0.08784773060029283,0.5418803418803418,0.36034554
mlp,0.08784773060029283,0.5452991452991452,0.3596559
mlp,0.08872620790629575,0.5452991452991452,0.35916576
mlp,0.08872620790629575,0.5504273504273505,0.35728145
mlp,0.09048316251830162,0.5504273504273505,0.3534843
mlp,0.09048316251830162,0.5555555555555556,0.3502725
mlp,0.09165446559297218,0.5555555555555556,0.3498936
mlp,0.09165446559297218,0.5572649572649573,0.34897438
mlp,0.09253294289897511,0.5572649572649573,0.34748533
mlp,0.09253294289897511,0.558974358974359,0.34599108
mlp,0.09399707174231332,0.558974358974359,0.34220567
mlp,0.09399707174231332,0.5606837606837607,0.3420614
mlp,0.09487554904831626,0.5606837606837607,0.34102896
mlp,0.09487554904831626,0.5675213675213675,0.3400878
mlp,0.09663250366032211,0.5675213675213675,0.33718336
mlp,0.09663250366032211,0.5692307692307692,0.33601165
mlp,0.09692532942898975,0.5692307692307692,0.33532017
mlp,0.09692532942898975,0.5709401709401709,0.33381397
mlp,0.09809663250366032,0.5709401709401709,0.33083034
mlp,0.09809663250366032,0.5743589743589743,0.3296107
mlp,0.0986822840409956,0.5743589743589743,0.3282842
mlp,0.0986822840409956,0.576068376068376,0.3267178
mlp,0.0992679355783309,0.576068376068376,0.32527867
mlp,0.0992679355783309,0.5794871794871795,0.32447687
mlp,0.09985358711566618,0.5794871794871795,0.32374784
mlp,0.09985358711566618,0.5811965811965812,0.32366332
mlp,0.10102489019033675,0.5811965811965812,0.32252824
mlp,0.10102489019033675,0.582905982905983,0.3221946
mlp,0.10131771595900439,0.582905982905983,0.32197544
mlp,0.10131771595900439,0.588034188034188,0.32070762
mlp,0.10161054172767203,0.588034188034188,0.32018092
mlp,0.10161054172767203,0.5897435897435898,0.31999967
mlp,0.10190336749633967,0.5897435897435898,0.3196434
mlp,0.10190336749633967,0.5914529914529915,0.3192296
mlp,0.10248901903367497,0.5914529914529915,0.31809786
mlp,0.10248901903367497,0.5931623931623932,0.31697312
mlp,0.10307467057101025,0.5931623931623932,0.316094
mlp,0.10307467057101025,0.5948717948717949,0.31502777
mlp,0.10395314787701318,0.5948717948717949,0.3125838
mlp,0.10395314787701318,0.5965811965811966,0.31254444
mlp,0.10629575402635431,0.5965811965811966,0.30857646
mlp,0.10629575402635431,0.5982905982905983,0.3079959
mlp,0.10658857979502197,0.5982905982905983,0.30639762
mlp,0.10658857979502197,0.6,0.30637962
mlp,0.10688140556368961,0.6,0.30468297
mlp,0.10688140556368961,0.6017094017094017,0.30455014
mlp,0.10717423133235725,0.6017094017094017,0.30447832
mlp,0.10717423133235725,0.6034188034188034,0.30358174
mlp,0.10746705710102489,0.6034188034188034,0.30297595
mlp,0.10746705710102489,0.6051282051282051,0.30218607
mlp,0.10805270863836018,0.6051282051282051,0.3019897
mlp,0.10805270863836018,0.6068376068376068,0.30191213
mlp,0.1095168374816984,0.6068376068376068,0.29850104
mlp,0.1095168374816984,0.6085470085470085,0.2970793
mlp,0.11332357247437774,0.6085470085470085,0.29071966
mlp,0.11332357247437774,0.6102564102564103,0.290189
mlp,0.11537335285505125,0.6102564102564103,0.28643465
mlp,0.11537335285505125,0.611965811965812,0.28613046
mlp,0.11654465592972181,0.611965811965812,0.28522322
mlp,0.11654465592972181,0.6136752136752137,0.28325266
mlp,0.11683748169838946,0.6136752136752137,0.28302196
mlp,0.11683748169838946,0.6153846153846154,0.28182095
mlp,0.11742313323572474,0.6153846153846154,0.28091785
mlp,0.11742313323572474,0.6170940170940171,0.28038532
mlp,0.11859443631039532,0.6170940170940171,0.2786776
mlp,0.11859443631039532,0.6188034188034188,0.27838543
mlp,0.1191800878477306,0.6188034188034188,0.2777989
mlp,0.1191800878477306,0.6205128205128205,0.277165
mlp,0.11947291361639824,0.6205128205128205,0.27706608
mlp,0.11947291361639824,0.6239316239316239,0.2765171
mlp,0.1212298682284041,0.6239316239316239,0.27447274
mlp,0.1212298682284041,0.6256410256410256,0.27427885
mlp,0.12240117130307467,0.6256410256410256,0.2721903
mlp,0.12240117130307467,0.6273504273504273,0.27170897
mlp,0.12269399707174232,0.6273504273504273,0.2715895
mlp,0.12269399707174232,0.629059829059829,0.271032
mlp,0.12386530014641288,0.629059829059829,0.26740468
mlp,0.12386530014641288,0.6307692307692307,0.26724884
mlp,0.12415812591508053,0.6307692307692307,0.2668506
mlp,0.12415812591508053,0.6324786324786325,0.26677358
mlp,0.1253294289897511,0.6324786324786325,0.2651298
mlp,0.1253294289897511,0.6341880341880342,0.26497534
mlp,0.12825768667642753,0.6341880341880342,0.25876617
mlp,0.12825768667642753,0.6358974358974359,0.2586606
mlp,0.13030746705710103,0.6358974358974359,0.25628442
mlp,0.13030746705710103,0.6410256410256411,0.25588253
mlp,0.13177159590043924,0.6410256410256411,0.25399688
mlp,0.13177159590043924,0.6444444444444445,0.25353438
mlp,0.13352855051244508,0.6444444444444445,0.25279105
mlp,0.13352855051244508,0.6461538461538462,0.25262016
mlp,0.1349926793557833,0.6461538461538462,0.24949673
mlp,0.1349926793557833,0.6478632478632479,0.24927528
mlp,0.1355783308931186,0.6478632478632479,0.2488148
mlp,0.1355783308931186,0.6495726495726496,0.24804482
mlp,0.13674963396778916,0.6495726495726496,0.2459101
