model,feature,xgb_feature_importance
xgboost_auc_optimized,HCT_median,0.0029916915
xgboost_auc_optimized,Mg_last,0.0029710482
xgboost_auc_optimized,pH_max,0.0029479084
xgboost_auc_optimized,FiO2_max,0.0029444988
xgboost_auc_optimized,Mg_max,0.0029422594
xgboost_auc_optimized,HR_median,0.0029182592
xgboost_auc_optimized,pH_first,0.002888425
xgboost_auc_optimized,n_rows_total,0.002862722
xgboost_auc_optimized,BUN_max,0.002818517
xgboost_auc_optimized,DiasABP_count,0.0027962758
xgboost_auc_optimized,MAP_std,0.0027503748
xgboost_auc_optimized,Creatinine_max,0.0026718574
xgboost_auc_optimized,HCT_mean,0.0026008447
xgboost_auc_optimized,K_max,0.0025762222
xgboost_auc_optimized,K_min,0.0025628894
xgboost_auc_optimized,NIDiasABP_first,0.0024827372
xgboost_auc_optimized,NIDiasABP_count,0.002325724
xgboost_auc_optimized,MAP_max,0.002232467
xgboost_auc_optimized,static_Gender,0.002225651
xgboost_auc_optimized,Mg_median,0.002224936
xgboost_auc_optimized,DiasABP_median,0.0021803984
xgboost_auc_optimized,PaCO2_min,0.002090222
xgboost_auc_optimized,MAP_median,0.0020315752
xgboost_auc_optimized,n_missing_minus1_values,0.001482673
xgboost_auc_optimized,Glucose_count,0.00077267265
xgboost_auc_optimized,FiO2_missing,0.0
xgboost_auc_optimized,BUN_missing,0.0
xgboost_auc_optimized,Creatinine_count,0.0
xgboost_auc_optimized,MechVent_missing,0.0
xgboost_auc_optimized,MechVent_min,0.0
xgboost_auc_optimized,MechVent_median,0.0
xgboost_auc_optimized,MechVent_mean,0.0
xgboost_auc_optimized,MechVent_max,0.0
xgboost_auc_optimized,MechVent_last,0.0
xgboost_auc_optimized,MechVent_first,0.0
xgboost_auc_optimized,MAP_missing,0.0
xgboost_auc_optimized,K_missing,0.0
xgboost_auc_optimized,Lactate_missing,0.0
xgboost_auc_optimized,HCT_missing,0.0
xgboost_auc_optimized,HCO3_count,0.0
xgboost_auc_optimized,HCO3_missing,0.0
xgboost_auc_optimized,Glucose_missing,0.0
xgboost_auc_optimized,HR_missing,0.0
xgboost_auc_optimized,GCS_missing,0.0
xgboost_auc_optimized,Creatinine_missing,0.0
xgboost_auc_optimized,DiasABP_missing,0.0
xgboost_auc_optimized,NISysABP_missing,0.0
xgboost_auc_optimized,Na_missing,0.0
xgboost_auc_optimized,Mg_missing,0.0
xgboost_auc_optimized,MechVent_std,0.0
xgboost_auc_optimized,NIDiasABP_missing,0.0
xgboost_auc_optimized,NIMAP_missing,0.0
xgboost_auc_optimized,PaO2_missing,0.0
xgboost_auc_optimized,PaCO2_missing,0.0
xgboost_auc_optimized,Platelets_missing,0.0
xgboost_auc_optimized,SysABP_count,0.0
xgboost_auc_optimized,Temp_missing,0.0
xgboost_auc_optimized,SysABP_missing,0.0
xgboost_auc_optimized,WBC_missing,0.0
xgboost_auc_optimized,pH_missing,0.0
