feature,coefficient,abs_coefficient
Lactate_count,0.05097266662898455,0.05097266662898455
PaCO2_median,-0.05024542877322901,0.05024542877322901
PaO2_min,0.048943844398847504,0.048943844398847504
K_first,-0.04838345543849048,0.04838345543849048
Na_min,-0.046467897715295595,0.046467897715295595
n_missing_minus1_values,-0.045680976998202394,0.045680976998202394
WBC_count,0.04567529001288424,0.04567529001288424
K_std,-0.04566126943659177,0.04566126943659177
Na_missing,0.04361024799054083,0.04361024799054083
WBC_mean,-0.04286369103384603,0.04286369103384603
MechVent_missing,0.04282379182968223,0.04282379182968223
HR_std,-0.04277941349390949,0.04277941349390949
Glucose_first,-0.041830090844996906,0.041830090844996906
NISysABP_missing,0.04103187285230114,0.04103187285230114
Glucose_std,-0.04062857776935416,0.04062857776935416
MAP_first,0.03936486929117231,0.03936486929117231
Na_std,0.03715937570506573,0.03715937570506573
Mg_median,-0.03582290951583532,0.03582290951583532
pH_std,0.034047787620386,0.034047787620386
Platelets_last,-0.03326486145987817,0.03326486145987817
GCS_missing,-0.03285771585457484,0.03285771585457484
DiasABP_max,-0.032350817446235615,0.032350817446235615
Creatinine_first,-0.03204167231123776,0.03204167231123776
Temp_last,-0.029655037255082922,0.029655037255082922
HCT_std,0.027962929401320703,0.027962929401320703
NISysABP_min,-0.026456155286712288,0.026456155286712288
FiO2_min,0.02141842168445764,0.02141842168445764
static_Height,-0.02053250126770589,0.02053250126770589
PaO2_last,0.019963404636153596,0.019963404636153596
WBC_min,0.019569359769577827,0.019569359769577827
Glucose_median,0.017631799769946718,0.017631799769946718
FiO2_last,0.017541643386157567,0.017541643386157567
PaO2_first,0.01670325028082818,0.01670325028082818
Temp_missing,-0.016295699787130493,0.016295699787130493
DiasABP_count,0.015620428894882592,0.015620428894882592
SysABP_min,-0.015490983044486404,0.015490983044486404
MAP_min,-0.013616008115540807,0.013616008115540807
Mg_count,-0.013062262245461887,0.013062262245461887
K_mean,0.011439267515447465,0.011439267515447465
HCO3_std,-0.010965307283356743,0.010965307283356743
NIDiasABP_std,0.010729942953488203,0.010729942953488203
MAP_max,-0.010034583053858428,0.010034583053858428
Mg_max,-0.01002836222010496,0.01002836222010496
SysABP_first,0.009241831432340643,0.009241831432340643
NIDiasABP_min,-0.007538596082952164,0.007538596082952164
HR_min,-0.006320431443271992,0.006320431443271992
Lactate_max,0.006097926157177148,0.006097926157177148
MAP_mean,0.005875307440016255,0.005875307440016255
pH_min,-0.005708910279863214,0.005708910279863214
pH_first,-0.00504793237743032,0.00504793237743032
pH_mean,0.004436049461554283,0.004436049461554283
NIMAP_std,0.004427192160721457,0.004427192160721457
Mg_missing,-0.0011782747929222485,0.0011782747929222485
Creatinine_std,0.0005755784341205181,0.0005755784341205181
K_min,0.0,0.0
HCO3_median,0.0,0.0
Glucose_min,0.0,0.0
HCO3_count,0.0,0.0
Glucose_missing,0.0,0.0
HCO3_max,0.0,0.0
HCO3_mean,0.0,0.0
K_median,0.0,0.0
K_last,0.0,0.0
K_max,0.0,0.0
Lactate_mean,0.0,0.0
Lactate_median,0.0,0.0
Lactate_min,0.0,0.0
Lactate_missing,0.0,0.0
MAP_count,0.0,0.0
Creatinine_min,0.0,0.0
Creatinine_missing,0.0,0.0
