mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bytree,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__n_estimators,param_xgbclassifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.2350751399993896,0.07248253994019455,0.019575977325439455,0.0037324758157825178,0.8,0.01,6,300,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 6, 'xgbclassifier__n_estimators': 300, 'xgbclassifier__subsample': 0.8}",0.8618147840531563,0.8448303830980066,0.859397710755814,0.8766868686868687,0.8496355555555556,0.8584730604298801,0.011027139641877062,5,0.9873348343060511,0.9885372721318588,0.9888860013649624,0.9877270753907212,0.9890314211909547,0.9883033208769095,0.0006624809290006874
3.150157070159912,0.6859519464561474,0.019962501525878907,0.004263577916224389,0.8,0.01,6,300,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 6, 'xgbclassifier__n_estimators': 300, 'xgbclassifier__subsample': 1.0}",0.8586223006644519,0.8408722227990033,0.8611691497093024,0.8739232323232322,0.844599595959596,0.8558373002911172,0.011945922532442808,28,0.9897303997169686,0.9893739794154626,0.9908644275132994,0.9887514482320477,0.9918149439517231,0.9901070397659002,0.0010961237629352946
2.596570587158203,0.16515515573932504,0.023849964141845703,0.007891647242343498,0.8,0.01,8,100,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 8, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 0.8}",0.8494828436461793,0.8313304609634551,0.8470106156561462,0.8643232323232324,0.8364218181818182,0.8457137941541661,0.011449190016723844,95,0.9861817812352505,0.9886447446929604,0.9891309011746285,0.9865260481209093,0.9888798873463365,0.987872672514017,0.001254290803844827
2.9521826267242433,0.18183747907734873,0.023587560653686522,0.003520839405149801,0.8,0.01,8,100,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 8, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 1.0}",0.8497732168812293,0.8277145841985051,0.8422867784468439,0.8635959595959596,0.8288371717171718,0.842441542167942,0.013440602434600848,101,0.9882642392035615,0.9903762470662623,0.991906972074945,0.9875395826458093,0.9905025960300159,0.9897179274041189,0.00159370018958388
4.804140377044678,0.5035623840962831,0.022265148162841798,0.0017891742470791008,0.8,0.01,8,200,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 8, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__subsample': 0.8}",0.8568995276162792,0.8379976899916944,0.8542423691860466,0.8715022222222223,0.8413090909090909,0.8523901799850666,0.011991407612863455,77,0.9963149662524015,0.9972164404278177,0.9981098187417574,0.9961044862324007,0.9972971062100312,0.9970085635728818,0.0007263147620412745
4.6384834289550785,0.29753972433574016,0.021704435348510742,0.0025946266791539874,0.8,0.01,8,200,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 8, 'xgbclassifier__n_estimators': 200, 'xgbclassifier__subsample': 1.0}",0.8554655056063123,0.8322161804401994,0.8506248702242524,0.8707587878787879,0.8367741414141414,0.8491678971127387,0.013776175709681062,90,0.9976236622600894,0.9982852965392621,0.9990637136202344,0.9976333978972856,0.998578458572612,0.9982369057778968,0.0005554998757167997
5.236054515838623,0.6955397001703847,0.025108957290649415,0.004458684734324676,0.8,0.01,8,300,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 8, 'xgbclassifier__n_estimators': 300, 'xgbclassifier__subsample': 0.8}",0.860474849460133,0.84164114410299,0.8578468905730898,0.8764735353535354,0.8489729292929293,0.8570818697565356,0.01176694681635832,19,0.9992598358645044,0.9994407783685058,0.9997380988812329,0.9991710207323825,0.9995778121227481,0.9994375091938746,0.00020622011132637684
4.877958631515503,0.2551711638953913,0.02395949363708496,0.003124688067766784,0.8,0.01,8,300,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.01, 'xgbclassifier__max_depth': 8, 'xgbclassifier__n_estimators': 300, 'xgbclassifier__subsample': 1.0}",0.8605008046096345,0.8365214908637875,0.8568249065614618,0.8752161616161616,0.8448937373737373,0.8547914202049565,0.01330906940635437,48,0.9997184664171522,0.9997795901713004,0.9999366498839458,0.9997429191860687,0.9998559618134711,0.9998067174943875,7.987715224486008e-05
0.5250145435333252,0.02970507737934146,0.017306995391845704,0.003053817956665064,0.8,0.05,4,100,0.8,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 0.8}",0.8596507734634551,0.8418682516611296,0.8582135070598006,0.8753583838383839,0.851099797979798,0.8572381428005136,0.011036558233426787,18,0.9510327890485663,0.9541013229447239,0.9535529295279547,0.9514546742619968,0.9544107997441752,0.9529105031054834,0.0013947688914626509
0.5156696796417236,0.03987835963290471,0.018265342712402342,0.0032535768858568768,0.8,0.05,4,100,1.0,"{'xgbclassifier__colsample_bytree': 0.8, 'xgbclassifier__learning_rate': 0.05, 'xgbclassifier__max_depth': 4, 'xgbclassifier__n_estimators': 100, 'xgbclassifier__subsample': 1.0}",0.8549107142857143,0.8448433606727573,0.8556666580149503,0.8756137373737375,0.8485915151515152,0.855925197099735,0.010633199193763432,26,0.9505782064266568,0.9535750919487467,0.9527187522010624,0.9504455966148799,0.953684531250918,0.9522004356884528,0.0014192927415937228
